sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
1239,1239,F,g,2018,?,Mollie's,?,?,Location Unknown,Willow Creek,-,Living,Living,Living,Living,Living,,,x,No,Yes,
1264,1264,M,b,2019,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",Grand Teton,-,N/A,2021,unknown,N/A,"Grand Teton National Park, WY",,,,Yes,No,left park
1265,1265,F,g,2019,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",Firehole River,-,2022,N/A,July 18,Vehicle,Gibon River,,,,Yes,No,
1266,1266,M,b,2020,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",Wapiti Lake,-,2021,N/A,November 18,Illegally Shot ,unknown,,,,Yes,No,
1267,1267,F,b,2020,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,Yes,No,
1268,1268,M,b,2019,April,8-Mile,Brindle Alpha Female,1015M,"Blacktail Deer Plateau, YNP",8-Mile,-,N/A,2020,unknown,N/A, Unknown,,,,Yes,No,
1269,1269,F,b,2019,April,8-Mile,Brindle Alpha Female,1015M,"Blacktail Deer Plateau, YNP",8-Mile,-,2021,N/A,April,Wolf (Rescue Creek),unknown,,,,Yes,No,
1270,1270,M,b,2020,April,8-Mile,Brindle Alpha Female,1015M,"Gardner's Hole, YNP",Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,Yes,No,
1271,1271,F,b,2020,April,8-Mile,Brindle Alpha Female,1015M,"Gardner's Hole, YNP",8-Mile,-,Living,Living,Living,Living,Living,,,,Yes,No,
1272,1272,M,g,2020,April,Junction Butte,907F (1382F? 1276F?),1047M,"Slough Creek, YNP",Mollie's,Rescue Creek,Living,Living,Living,Living,Living,,,x,Yes,No,
1273,1273,M,b,2019,April,Junction Butte,907F (1382F? or 969F? or 1109F?),1047M (1048M?),"Slough Creek Area, YNP",Rescue Creek,-,Living,Living,Living,Living,Living,,,x,Yes,No,
1274,1274,M,b,2020,April,Junction Butte,1382F (907F? or 1276F?),1047M,"Slough Creek, YNP",Rescue Creek,-,2021,N/A,November ,Wolf (8-Mile),"Blacktail Deer Plateau, YNP",,,,Yes,No,
